Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Libya,LBY,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,15.4499811,14.1175952,14.0200698,18.6482793,16.3155861,16.6596402,15.6328988,17.9129123,18.0774087,18.4018944,18.3934635,16.1503294,17.459507,13.8566603,12.2271581,11.9044593,14.587633,14.143551,13.6480726,12.1118726,15.4914085,13.7646415,16.0195062,16.5690136
Libya,LBY,Control of Corruption - Number of sources,GOV_WGI_CC.SR,4,4,4,6,6,6,7,7,7,7,7,8,9,10,10,10,8,9,8,8,8,8,8,8
Libya,LBY,Control of Corruption - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_CC.SC_UB,40.7183162,34.2127842,34.1946943,32.0139179,30.4059223,30.4421203,30.8592841,31.682987,29.8876196,29.4643489,28.9578166,31.7835369,28.119562,24.388859,21.9446492,21.9089836,21.7362646,23.584758,23.2977026,23.8061295,23.2233008,23.5657188,23.3760414,23.6001881
Libya,LBY,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,3,4,4,4,4,4,5,5,5,6,6,6,7,8,8,8,8,8,7,7,7,8,8,8
Libya,LBY,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,34.6616412,31.8060535,31.7085282,36.3367377,34.0040444,34.3480986,31.8761259,34.1561394,34.3206359,34.4204809,34.41205,32.1689159,31.8346848,27.9136524,26.2841502,25.9614514,28.644625,28.2005431,28.6106388,27.0744387,30.4539747,28.1064651,30.3613298,30.9108372
Libya,LBY,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.3012347,0.2773512,0.2773512,0.2773512,0.2773512,0.2773512,0.2546903,0.2546903,0.2546903,0.251168,0.251168,0.251168,0.2253997,0.2204106,0.2204106,0.2204106,0.2204106,0.2204106,0.2346098,0.2346098,0.2346098,0.2248767,0.2248767,0.2248767
Libya,LBY,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.182786,-1.3801427,-1.2248297,-1.1296781,-1.1693927,-1.1415494,-1.06989699999999,-1.0141289,-1.17927839999999,-1.1938263,-1.19040979999999,-1.0379947,-1.39483849999999,-1.59536189999999,-1.75455909999999,-1.6960655,-1.6097257,-1.5684814,-1.6213786,-1.6334673,-1.56279409999999,-1.7431898,-1.66847289999999,-1.6980126
Libya,LBY,Rule of Law - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RL.SC_LB,30.7276197,27.6175062,30.2905521,32.1548912,31.64078,32.1199828,33.5645046,34.5243129,31.6819738,31.4450323,31.5038327,33.9482844,27.9450654,24.4939167,21.7540209,22.7607369,24.2467056,24.8502798,23.8122937,23.1453565,24.361692,21.4310758,22.7170062,22.2086072
Libya,LBY,Rule of Law - Number of sources,GOV_WGI_RL.SR,6,7,7,8,9,9,10,10,10,11,11,10,11,11,11,11,11,10,10,9,9,10,10,10
Libya,LBY,Rule of Law - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RL.SC_UB,42.4886433,38.8054615,41.4785075,42.8894203,42.0364992,42.5157019,43.5375565,44.4973647,41.6550256,41.3912079,41.4500083,44.2518987,37.9720522,34.5209034,31.7810076,32.7877236,34.2736923,35.0898049,34.306995,34.5578221,35.7741576,32.4953,33.7812304,33.2728314
Libya,LBY,Rule of Law - Standard error of the governance estimate,GOV_WGI_RL.SE,0.20834,0.1981884,0.1981884,0.1901562,0.1841544,0.1841544,0.1766671,0.1766671,0.1766671,0.176191,0.176191,0.1825228,0.1776225,0.1776225,0.1776225,0.1776225,0.1776225,0.1813875,0.1859078,0.2021655,0.2021655,0.1959966,0.1959966,0.1959966
Libya,LBY,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,-1.8581172,-1.8921898,-1.8592574,-1.9052156,-1.85801179999999,-1.7668746,-1.7682143,-1.7716811,-1.7649978,-1.82689709999999,-1.5248663,-0.8508505,-0.811560899999999,-1.0752096,-1.165613,-1.1997746,-1.2324321,-1.1886225,-1.108952,-1.1145078,-1.26873449999999,-1.3168916,-1.3571083,-1.33599959999999
Libya,LBY,Voice and Accountability - Standard error of the governance estimate,GOV_WGI_VA.SE,0.1859104,0.1659903,0.1659903,0.140068,0.140068,0.140068,0.1391131,0.1391131,0.1391131,0.1391131,0.1391131,0.1567176,0.1577213,0.1577043,0.1577043,0.1577043,0.1579972,0.1697342,0.1714775,0.1714775,0.1714775,0.1714775,0.1711033,0.1711033
Libya,LBY,Voice and Accountability - Number of sources,GOV_WGI_VA.SR,7,9,9,11,11,11,12,12,12,12,12,12,12,13,13,13,12,10,9,9,9,9,10,10
Morocco,MAR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,51.2333497,46.1375329,45.5378132,44.0065714,41.584352,45.0071082,45.9655136,45.4284873,45.9436313,49.0676398,48.1264617,47.4286781,47.0830645,46.0979352,46.7442758,48.6246078,46.224121,45.1923591,48.7485362,50.2181269,48.9260271,49.0068481,50.9743068,54.7695462
Morocco,MAR,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,60.6512017,54.2440441,51.062785,53.3176815,49.4272932,50.4544882,50.3650373,48.9237683,49.8394913,50.3406222,50.3907776,51.2553986,49.5062576,50.5538404,50.6179176,51.9129404,50.5729013,51.3742901,51.4596208,51.5491406,49.3094859,49.2337674,50.1940163,50.6345517
Morocco,MAR,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,42.1241151,45.3636816,39.8868304,39.9938555,37.3171069,40.7841477,41.6247382,40.2221051,40.0639458,41.7595428,37.6161269,37.6747019,39.407606,39.422777,40.72869,41.4857456,39.9374342,38.2372182,39.238828,39.5851081,38.1713462,37.978752,36.6776525,37.3557196
Morocco,MAR,Voice and Accountability - Governance score (0-100),GOV_WGI_VA.SC,44.5389425,46.4804534,44.5401887,45.7540563,44.2531094,45.7893466,45.5596264,44.5849076,44.5012632,47.5898259,47.2780733,46.5541056,44.4695837,45.1328737,45.5432686,46.8373396,45.9613418,44.7185286,45.1810581,44.6737257,44.6520174,44.6744083,44.144895,44.1300931
Morocco,MAR,Voice and Accountability - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_VA.SC_UB,49.8753306,51.1996197,48.6788605,49.7360966,48.2032339,49.7339105,49.5038683,48.4201125,48.3364681,51.4250308,51.1181456,50.3944772,48.3099553,48.9729461,49.3833409,50.8191419,49.9303357,48.9141412,49.3766707,48.8822954,48.8605871,48.882978,48.3855923,48.3707904
Morocco,MAR,Voice and Accountability - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_VA.SC_LB,39.2025544,41.761287,40.4015169,41.772016,40.3029849,41.8447826,41.6153845,40.7497027,40.6660583,43.754621,43.438001,42.713734,40.629212,41.2928014,41.7031963,42.8555374,41.9923479,40.5229159,40.9854454,40.4651559,40.4434476,40.4658385,39.9041977,39.8893958
Morocco,MAR,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.2831165,-0.123071,-0.3936459,-0.3883585,-0.5205989,-0.3493154,-0.3077874,-0.3770822,-0.3848958,-0.3011276,-0.5058263,-0.5029325,-0.4173212,-0.4165717,-0.352055199999999,-0.3146541,-0.3911459,-0.475142299999999,-0.425659399999999,-0.408551999999999,-0.4783966,-0.4879114,-0.5521901,-0.5186913
Morocco,MAR,Control of Corruption - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_CC.SC_LB,34.4334088,38.152556,32.8385115,33.7488502,31.0721016,34.6031077,35.4436982,34.0947861,33.9366269,35.6322238,32.1515644,32.2101394,33.9430434,33.9672807,35.2731936,35.9449778,34.4819379,32.7512806,33.7528904,34.0991704,32.6854086,32.4928144,31.2370276,31.9020349
Morocco,MAR,Control of Corruption - Standard error of the governance estimate,GOV_WGI_CC.SE,0.2316749,0.217228,0.2123236,0.1881246,0.1881246,0.1861977,0.1861977,0.1845794,0.1845794,0.1845794,0.1646145,0.1646145,0.1646145,0.1643414,0.1643414,0.1669101,0.1643414,0.1652584,0.1652584,0.1652584,0.1652584,0.1652584,0.1638934,0.1642868
Morocco,MAR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.0055096,-0.2675859,-0.2984293,-0.3771806,-0.501754599999999,-0.3257233,-0.2764328,-0.3040519,-0.2775582,-0.116891399999999,-0.1652959,-0.2011827,-0.2189575,-0.2696224,-0.2363813,-0.1396764,-0.2631327,-0.3161959,-0.1333028,-0.0577221999999999,-0.1241745,-0.1200179,-0.0188320999999999,0.1763559
Morocco,MAR,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,41.6275197,38.0159194,37.4161997,36.2529534,33.8307341,37.3514064,38.501209,37.9641827,38.4793267,41.6033352,40.7007516,39.8146001,40.1852148,39.3410702,39.9874108,41.8387051,39.467256,38.4354941,41.9916712,43.4612619,42.169162,42.4812619,44.4766442,48.2718836
Morocco,MAR,Control of Corruption - Number of sources,GOV_WGI_CC.SR,4,5,6,8,8,10,10,11,11,11,12,12,12,13,13,12,13,12,12,12,12,12,13,12
Morocco,MAR,Control of Corruption - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_CC.SC_UB,49.8148213,52.5748072,46.9351493,46.2388608,43.5621121,46.9651877,47.8057782,46.3494241,46.1912648,47.8868617,43.0806895,43.1392644,44.8721685,44.8782734,46.1841863,47.0265135,45.3929306,43.7231558,44.7247656,45.0710457,43.6572838,43.4646896,42.1182774,42.8094044
Morocco,MAR,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,3,5,5,6,6,7,8,8,8,8,9,8,9,10,10,9,10,10,10,10,10,11,12,12
Morocco,MAR,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,60.8391798,54.2591465,53.6594268,51.7601894,49.33797,52.6628099,53.4298182,52.8927919,53.4079359,56.5319444,55.5521719,55.042756,53.9809142,52.8548002,53.5011408,55.4105105,52.980986,51.9492241,55.5054012,56.9749919,55.6828921,55.5324342,57.4719694,61.2672088
Morocco,MAR,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.3012347,0.2546903,0.2546903,0.2431501,0.2431501,0.2400795,0.2340774,0.2340774,0.2340774,0.2340774,0.2328671,0.2387742,0.2163136,0.2118924,0.2118924,0.212803,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2046396,0.2037639,0.2037639
Morocco,MAR,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.2141976,-0.1580799,-0.3429218,-0.2119047,-0.4379494,-0.3782659,-0.3834633,-0.467205899999999,-0.413999299999999,-0.3848819,-0.381967699999999,-0.3317303,-0.4333613,-0.372493199999999,-0.3687701,-0.2935249,-0.3713857,-0.3248223,-0.3198643,-0.314662899999999,-0.4447944,-0.4491939,-0.3934002,-0.3678036
Morocco,MAR,Rule of Law - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RL.SC_LB,54.7706899,48.9110117,45.9272781,48.2179556,44.4735451,45.5139149,45.5051219,44.180476,45.0961991,45.59733,46.3454293,47.1638878,45.4147468,46.4623296,46.5264068,47.8544397,46.527553,47.2737299,47.3590606,47.2404668,45.0008122,45.0015488,45.9828343,46.4233697
Morocco,MAR,Rule of Law - Number of sources,GOV_WGI_RL.SR,6,8,9,10,11,12,13,14,14,14,15,14,14,14,14,14,15,14,14,13,13,14,15,15
Morocco,MAR,Rule of Law - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RL.SC_UB,66.5317135,59.5770766,56.1982919,58.4174073,54.3810413,55.3950615,55.2249527,53.6670605,54.5827835,55.0839144,54.4361259,55.3469094,53.5977684,54.6453513,54.7094284,55.9714411,54.6182496,55.4748504,55.560181,55.8578143,53.6181597,53.4659861,54.4051983,54.8457338
Morocco,MAR,Rule of Law - Standard error of the governance estimate,GOV_WGI_RL.SE,0.20834,0.1889434,0.1819453,0.1806776,0.1755058,0.175039,0.1721814,0.1680496,0.1680496,0.1680496,0.1433222,0.1449577,0.1449577,0.1449577,0.1449577,0.1437882,0.1433222,0.1452783,0.1452783,0.1526515,0.1526515,0.1499428,0.1491975,0.1491975
Morocco,MAR,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,-0.7033455,-0.5924178,-0.7032743,-0.6339203,-0.719676499999999,-0.631904,-0.645029,-0.700719299999999,-0.7054983,-0.5290341,-0.546845999999999,-0.5882097,-0.7073083,-0.6694114,-0.6459636,-0.5720272,-0.622077099999999,-0.6930849,-0.6666584,-0.6956447,-0.696885,-0.6956057,-0.7258593,-0.726704999999999
Morocco,MAR,Voice and Accountability - Standard error of the governance estimate,GOV_WGI_VA.SE,0.1859104,0.1644075,0.1441841,0.1387273,0.1376154,0.1374217,0.1374105,0.1336118,0.1336118,0.1336118,0.1337814,0.1337918,0.1337918,0.1337814,0.1337814,0.138719,0.1382728,0.1461678,0.1461678,0.1466192,0.1466192,0.1466192,0.1477385,0.1477385
Morocco,MAR,Voice and Accountability - Number of sources,GOV_WGI_VA.SR,7,10,11,13,14,15,16,17,17,17,18,17,17,18,18,16,17,14,14,13,13,13,12,12
Tunisia,TUN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,61.6921676,60.2604441,55.7583388,56.7129837,56.5359596,61.507041,62.5005624,61.4693002,61.9131372,58.1843458,54.12445,53.9023545,50.1357795,51.1111655,51.0695475,50.2261845,52.3589057,53.3457442,52.4136018,50.7034788,51.05841,48.3762785,48.0648067,46.6866126
Tunisia,TUN,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,52.5354016,52.6871312,50.561494,54.2078139,52.4178043,54.8245508,54.4173301,55.0952683,54.60234,53.2215098,50.0289536,53.9493263,53.1497394,54.3439092,55.0802623,55.2100379,55.4108145,55.9765957,56.5024705,56.7642866,56.7043417,52.8893312,51.5463765,50.6915088
Tunisia,TUN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,40.3335368,46.8653747,43.1831461,44.7216343,42.1240219,46.6720964,45.5428293,41.8175894,42.0195756,43.9253546,48.8810733,47.8881572,47.6165219,48.1080288,47.5639344,46.6856501,46.8629437,47.8818985,47.2745634,47.4649148,44.9903163,43.8217705,43.9611436,43.3985605
Tunisia,TUN,Voice and Accountability - Governance score (0-100),GOV_WGI_VA.SC,38.0892508,37.0233422,37.2797012,36.5655191,36.1435796,37.0473469,36.2652044,36.8075943,35.6167792,33.9565526,52.3180008,54.3646141,54.7742791,59.2875584,60.2576601,60.6011622,58.6622592,58.342354,58.732712,58.7055061,55.7562195,49.5813273,48.0041325,44.8825934
Tunisia,TUN,Voice and Accountability - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_VA.SC_UB,43.425639,41.7425086,41.9988676,40.5475594,40.1256199,41.0293872,40.2472447,40.7839393,39.5931242,37.9328976,56.2501134,57.9549556,58.2815678,62.7948471,63.7649489,64.5701561,62.6312531,62.5313069,62.9216649,62.9073531,59.9580665,53.7831744,52.2379531,49.116414
Tunisia,TUN,Voice and Accountability - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_VA.SC_LB,32.7528627,32.3041759,32.5605349,32.5834789,32.1615394,33.0653066,32.2831642,32.8312493,31.6404343,29.9802077,48.3858881,50.7742725,51.2669903,55.7802696,56.7503713,56.6321683,54.6932653,54.153401,54.543759,54.5036591,51.5543724,45.3794803,43.770312,40.6487728
Tunisia,TUN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.3715771,-0.0488823,-0.2307968,-0.1547903,-0.2831211,-0.0584308999999999,-0.114220499999999,-0.298259899999999,-0.2882811,-0.1941292,0.0507,0.0016466,-0.0117731,0.012509,-0.0143711,-0.0577612999999999,-0.0490023999999999,0.00133739999999999,-0.0286669999999999,-0.019263,-0.1415165,-0.1992466,-0.192361099999999,-0.220154599999999
Tunisia,TUN,Control of Corruption - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_CC.SC_LB,32.6428305,39.6542491,35.9720205,38.476629,35.8790167,40.4270911,39.297824,35.6173786,35.8193649,37.7251438,42.7996581,42.4589627,42.232553,42.72406,42.1799655,41.2301538,41.4074473,42.4264021,41.819067,42.0094184,39.53482,38.3662742,38.5056473,37.9747907
Tunisia,TUN,Control of Corruption - Standard error of the governance estimate,GOV_WGI_CC.SE,0.2316749,0.217228,0.217228,0.1881246,0.1881246,0.1881246,0.1881246,0.1867752,0.1867752,0.1867752,0.1831966,0.1635491,0.1621867,0.1621867,0.1621867,0.1643414,0.1643414,0.1643414,0.1643414,0.1643414,0.1643414,0.1643414,0.1643414,0.1633857
Tunisia,TUN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.5323842,0.4587511,0.2272092,0.2763063,0.267202,0.5228632,0.5739597,0.5209222,0.5437486,0.351978,0.1431788,0.1317565,-0.0619573,-0.0117935,-0.0139338999999999,-0.0573078,0.0523774,0.1031302,0.0551904,-0.0327607,-0.0145066999999999,-0.1524479,-0.1684668,-0.2393469
Tunisia,TUN,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,52.0863375,52.1388305,47.6367252,48.9593658,48.7823416,53.7534231,54.8448606,53.8135984,54.2574354,50.528644,46.6987398,46.4766444,43.3789145,44.3543005,44.3126825,43.4693195,45.6020407,46.5888792,45.6567367,43.9466138,44.3015449,41.8506923,41.5392205,40.18895
Tunisia,TUN,Control of Corruption - Number of sources,GOV_WGI_CC.SR,4,5,5,8,8,8,8,9,9,9,10,12,14,14,14,13,13,13,13,13,13,13,13,13
Tunisia,TUN,Control of Corruption - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_CC.SC_UB,48.024243,54.0765003,50.3942717,50.9666395,48.3690272,52.9171017,51.7878346,48.0178002,48.2197864,50.1255653,54.9624885,53.3173517,53.0004907,53.4919977,52.9479032,52.1411465,52.3184401,53.3373949,52.7300598,52.9204112,50.4458127,49.2772669,49.41664,48.8223303
Tunisia,TUN,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,3,5,5,6,6,6,7,7,7,7,9,9,10,10,10,10,10,10,10,10,10,11,11,12
Tunisia,TUN,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,71.2979976,68.3820576,63.8799523,64.4666017,64.2895775,69.260659,70.1562642,69.125002,69.568839,65.8400476,61.5501601,61.3280647,56.8926445,57.8680305,57.8264125,56.9830495,59.1157707,60.1026092,59.1704668,57.4603438,57.815275,54.9018647,54.5903929,53.1842752
Tunisia,TUN,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.3012347,0.2546903,0.2546903,0.2431501,0.2431501,0.2431501,0.2400795,0.2400795,0.2400795,0.2400795,0.2328671,0.2328671,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2046396,0.2046396,0.2037639
Tunisia,TUN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.257357799999999,-0.248541799999999,-0.3720485,-0.160185,-0.2641906,-0.124350499999999,-0.1480114,-0.108620899999999,-0.1372617,-0.217492599999999,-0.4029909,-0.175204,-0.2216627,-0.152277399999999,-0.1094928,-0.1019524,-0.0902866,-0.0574128,-0.0268576999999999,-0.0116452999999999,-0.0151282999999999,-0.236793299999999,-0.3148235,-0.3644942
Tunisia,TUN,Rule of Law - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RL.SC_LB,46.6548898,47.3540988,45.2284616,49.108088,47.4640562,49.8708027,49.4767568,50.154695,49.6617667,48.2809364,45.1915739,49.9252969,49.1926631,50.3868329,51.123186,51.1646896,51.3654662,51.8760355,52.4019103,52.4556128,52.3956679,48.6571125,47.3141579,46.4803268
Tunisia,TUN,Rule of Law - Number of sources,GOV_WGI_RL.SR,6,8,8,10,11,11,12,12,12,12,14,15,16,16,16,15,15,14,14,13,13,14,14,15
Tunisia,TUN,Rule of Law - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RL.SC_UB,58.4159134,58.0201636,55.8945265,59.3075397,57.3715525,59.7782989,59.3579034,60.0358416,59.5429133,58.1620831,54.8663332,57.9733557,57.1068157,58.3009855,59.0373386,59.2553861,59.4561628,60.0771559,60.6030307,61.0729603,61.0130155,57.1215498,55.7785952,54.9026909
Tunisia,TUN,Rule of Law - Standard error of the governance estimate,GOV_WGI_RL.SE,0.20834,0.1889434,0.1889434,0.1806776,0.1755058,0.1755058,0.175039,0.175039,0.175039,0.175039,0.171383,0.1425669,0.1401948,0.1401948,0.1401948,0.1433222,0.1433222,0.1452783,0.1452783,0.1526515,0.1526515,0.1499428,0.1499428,0.1491975
Tunisia,TUN,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,-1.0718469,-1.1327473,-1.1181003,-1.1589049,-1.1830123,-1.1313758,-1.1760633,-1.145074,-1.2131109,-1.3079675,-0.2588911,-0.141958399999999,-0.1185523,0.1393127,0.1947392,0.2143651,0.1035864,0.0853087,0.1076117,0.1060573,-0.0624493999999999,-0.415250199999999,-0.5053628,-0.6837111
Tunisia,TUN,Voice and Accountability - Standard error of the governance estimate,GOV_WGI_VA.SE,0.1859104,0.1644075,0.1644075,0.1387273,0.1387273,0.1387273,0.1387273,0.1385289,0.1385289,0.1385289,0.1369879,0.1250812,0.1221878,0.1221878,0.1221878,0.1382728,0.1382728,0.1459358,0.1459358,0.146385,0.146385,0.146385,0.1474989,0.1474989
Tunisia,TUN,Voice and Accountability - Number of sources,GOV_WGI_VA.SR,7,10,10,13,13,13,13,14,14,14,16,17,19,19,19,17,17,15,15,14,14,14,13,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/18/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
